,DATE,HDI,TC,TD,STI,Population,GDPCAP
17619,6/16/2020,0.936,12.13800256,9.082507,4.089666973,18.24375196,10.71949917
17620,6/17/2020,0.936,12.13984737,9.085910294,4.089666973,18.24375196,10.71949917
17621,6/18/2020,0.936,12.14294113,9.088850474,4.1499369360000005,18.24375196,10.71949917
17622,6/19/2020,0.936,12.14703364,9.090655529,4.1499369360000005,18.24375196,10.71949917
17623,6/20/2020,0.936,12.15021632,9.091782036,4.1499369360000005,18.24375196,10.71949917
17624,6/21/2020,0.936,12.15384207,9.091782036,4.1499369360000005,18.24375196,10.71949917
17625,6/22/2020,0.936,12.15666704,9.092119741,4.1499369360000005,18.24375196,10.71949917
17626,6/23/2020,0.936,12.15930593,9.0932446,4.1499369360000005,18.24375196,10.71949917
17627,6/24/2020,0.936,12.16237673,9.095378354,4.1499369360000005,18.24375196,10.71949917
17628,6/25/2020,0.936,12.16566202,9.096835671,4.1499369360000005,18.24375196,10.71949917
17629,6/26/2020,0.936,12.1681423,9.099185323,4.1499369360000005,18.24375196,10.71949917
17630,6/27/2020,0.936,12.17170374,9.099855639,4.1499369360000005,18.24375196,10.71949917
17631,6/28/2020,0.936,12.17302762,9.100190628,4.1499369360000005,18.24375196,10.71949917
17632,6/29/2020,0.936,12.17438072,9.100637107,4.1499369360000005,18.24375196,10.71949917
17633,6/30/2020,0.936,12.1769476,9.101975347,4.1499369360000005,18.24375196,10.71949917
17634,7/1/2020,0.936,12.17934359,9.103311799,4.1499369360000005,18.24375196,10.71949917
17635,7/2/2020,0.936,12.18192339,9.104312967,4.1499369360000005,18.24375196,10.71949917
17636,7/3/2020,0.936,12.18420529,9.105313134,4.1499369360000005,18.24375196,10.71949917
17637,7/4/2020,0.936,12.18635961,9.106090351,4.1499369360000005,18.24375196,10.71949917
17638,7/5/2020,0.936,12.18757766,9.106312302,4.1499369360000005,18.24375196,10.71949917
17639,7/6/2020,0.936,12.18869248,9.106756056,4.1499369360000005,18.24375196,10.71949917
17640,7/7/2020,0.936,12.1906747,9.107642974,4.008968211,18.24375196,10.71949917
17641,7/8/2020,0.936,12.19268848,9.108971878,4.008968211,18.24375196,10.71949917
17642,7/9/2020,0.936,12.19492575,9.110299018,4.008968211,18.24375196,10.71949917
17643,7/10/2020,0.936,12.1969209,9.110961928,4.008968211,18.24375196,10.71949917
17644,7/11/2020,0.936,12.19882646,9.111624399,4.008968211,18.24375196,10.71949917
17645,7/12/2020,0.936,12.20007469,9.11195547,4.008968211,18.24375196,10.71949917
17646,7/13/2020,0.936,12.20087416,9.112065803,4.008968211,18.24375196,10.71949917
17647,7/14/2020,0.936,12.20294275,9.112507012,4.008968211,18.24375196,10.71949917
17648,7/15/2020,0.936,12.20470171,9.112837791,4.008968211,18.24375196,10.71949917
17649,7/16/2020,0.936,12.2073718,9.113609183,4.008968211,18.24375196,10.71949917
17650,7/17/2020,0.936,12.21027879,9.114049712,4.008968211,18.24375196,10.71949917
17651,7/18/2020,0.936,12.21290922,9.114159814,4.008968211,18.24375196,10.71949917
17652,7/19/2020,0.936,12.21391184,9.114269903,4.008968211,18.24375196,10.71949917
17653,7/20/2020,0.936,12.21514635,9.114490046,4.008968211,18.24375196,10.71949917
17654,7/21/2020,0.936,12.21772944,9.114930187,4.008968211,18.24375196,10.71949917
17655,7/22/2020,0.936,12.21997062,9.115480091,4.008968211,18.24375196,10.71949917
17656,7/23/2020,0.936,12.22277242,9.116139577,4.008968211,18.24375196,10.71949917
17657,7/24/2020,0.936,12.22677193,9.117237754,4.008968211,18.24375196,10.71949917
17658,7/25/2020,0.936,12.23058963,9.118005761,4.008968211,18.24375196,10.71949917
17659,7/26/2020,0.936,12.23207659,9.118005761,4.008968211,18.24375196,10.71949917
17660,7/27/2020,0.936,12.23373159,9.118005761,4.008968211,18.24375196,10.71949917
17661,7/28/2020,0.936,12.23680552,9.118444357,4.008968211,18.24375196,10.71949917
17662,7/29/2020,0.936,12.24011652,9.119101892,4.008968211,18.24375196,10.71949917
17663,7/30/2020,0.936,12.24446609,9.119758994,4.008968211,18.24375196,10.71949917
17664,7/31/2020,0.936,12.24864351,9.120525068,4.058199116,18.24375196,10.71949917
17665,8/1/2020,0.936,12.25320906,9.120525068,4.058199116,18.24375196,10.71949917
17666,8/2/2020,0.936,12.25435316,9.120525068,4.058199116,18.24375196,10.71949917
17667,8/3/2020,0.936,12.25677527,9.121290555,4.058199116,18.24375196,10.71949917
17668,8/4/2020,0.936,12.26094428,9.122164681,4.058199116,18.24375196,10.71949917
17669,8/5/2020,0.936,12.26444532,9.123474439,4.058199116,18.24375196,10.71949917
17670,8/6/2020,0.936,12.27261853,9.124237673,4.058199116,18.24375196,10.71949917
17671,8/7/2020,0.936,12.27804906,9.125109228,4.089666973,18.24375196,10.71949917
17672,8/8/2020,0.936,12.28266788,9.126415137,4.041998082,18.24375196,10.71949917
17673,8/9/2020,0.936,12.28592303,9.126523886,4.041998082,18.24375196,10.71949917
17674,8/10/2020,0.936,12.28738532,9.126632623,4.041998082,18.24375196,10.71949917
17675,8/11/2020,0.936,12.29234667,9.127067453,4.041998082,18.24375196,10.71949917
17676,8/12/2020,0.936,12.29775352,9.127719343,4.041998082,18.24375196,10.71949917
17677,8/13/2020,0.936,12.30466833,9.128153701,4.041998082,18.24375196,10.71949917
17678,8/14/2020,0.936,12.31122514,9.129672469,4.041998082,18.24375196,10.71949917
17679,8/15/2020,0.936,12.3172338,9.130322664,4.041998082,18.24375196,10.71949917
17680,8/16/2020,0.936,12.32044097,9.130322664,4.041998082,18.24375196,10.71949917
17681,8/17/2020,0.936,12.32258376,9.130430989,4.041998082,18.24375196,10.71949917
17682,8/18/2020,0.936,12.32893167,9.130430989,4.041998082,18.24375196,10.71949917
17683,8/19/2020,0.936,12.33232637,9.131621787,4.041998082,18.24375196,10.71949917
17684,8/20/2020,0.936,12.33982089,9.132703102,4.041998082,18.24375196,10.71949917
17685,8/21/2020,0.936,12.34994786,9.133459328,4.041998082,18.24375196,10.71949917
17686,8/22/2020,0.936,12.35484604,9.134214982,4.041998082,18.24375196,10.71949917
17687,8/23/2020,0.936,12.35820987,9.134430778,4.041998082,18.24375196,10.71949917
17688,8/24/2020,0.936,12.3612585,9.134754385,4.089666973,18.24375196,10.71949917
17689,8/25/2020,0.936,12.36671507,9.135293498,4.089666973,18.24375196,10.71949917
17690,8/26/2020,0.936,12.37340323,9.135616826,4.089666973,18.24375196,10.71949917
17691,8/27/2020,0.936,12.37975701,9.136155474,4.089666973,18.24375196,10.71949917
17692,8/28/2020,0.936,12.38633792,9.136478523,4.089666973,18.24375196,10.71949917
17693,8/29/2020,0.936,12.39249412,9.136586183,4.089666973,18.24375196,10.71949917
17694,8/30/2020,0.936,12.39574628,9.1372319,4.089666973,18.24375196,10.71949917
17695,8/31/2020,0.936,12.39826615,9.137554602,4.089666973,18.24375196,10.71949917
17696,9/1/2020,0.936,12.40327871,9.13798471,4.089666973,18.24375196,10.71949917
17697,9/2/2020,0.936,12.40842148,9.139166553,4.089666973,18.24375196,10.71949917
17698,9/3/2020,0.936,12.41376138,9.140025198,4.058199116,18.24375196,10.71949917
17699,9/4/2020,0.936,12.41964655,9.140132477,3.902780424,18.24375196,10.71949917
17700,9/5/2020,0.936,12.42519613,9.140347,3.902780424,18.24375196,10.71949917
17701,9/6/2020,0.936,12.4291562,9.140454245,3.902780424,18.24375196,10.71949917
17702,9/7/2020,0.936,12.4324071,9.140454245,3.902780424,18.24375196,10.71949917
17703,9/8/2020,0.936,12.43836621,9.140883107,3.902780424,18.24375196,10.71949917
17704,9/9/2020,0.936,12.44301653,9.141847376,3.902780424,18.24375196,10.71949917
17705,9/10/2020,0.936,12.45045309,9.142168592,3.902780424,18.24375196,10.71949917
17706,9/11/2020,0.936,12.45624754,9.142275641,3.902780424,18.24375196,10.71949917
17707,9/12/2020,0.936,12.4625736,9.142810715,3.902780424,18.24375196,10.71949917
17708,9/13/2020,0.936,12.46623449,9.143024665,3.902780424,18.24375196,10.71949917
17709,9/14/2020,0.936,12.46980136,9.143131622,3.902780424,18.24375196,10.71949917
17710,9/15/2020,0.936,12.47519097,9.144414222,3.902780424,18.24375196,10.71949917
17711,9/16/2020,0.936,12.48242705,9.145054905,3.902780424,18.24375196,10.71949917
17712,9/17/2020,0.936,12.49071385,9.145375093,3.902780424,18.24375196,10.71949917
17713,9/18/2020,0.936,12.49789489,9.1461218,3.902780424,18.24375196,10.71949917
17714,9/19/2020,0.936,12.50643646,9.14676139,3.902780424,18.24375196,10.71949917
17715,9/20/2020,0.936,12.51140429,9.146974496,3.902780424,18.24375196,10.71949917
17716,9/21/2020,0.936,12.51479555,9.146974496,3.902780424,18.24375196,10.71949917
17717,9/22/2020,0.936,12.52145986,9.148039346,3.902780424,18.24375196,10.71949917
17718,9/23/2020,0.936,12.52789162,9.149421957,3.902780424,18.24375196,10.71949917
17719,9/24/2020,0.936,12.53562816,9.151439264,3.902780424,18.24375196,10.71949917
17720,9/25/2020,0.936,12.54334099,9.153029005,3.902780424,18.24375196,10.71949917
17721,9/26/2020,0.936,12.55224766,9.153981638,3.902780424,18.24375196,10.71949917
17722,9/27/2020,0.936,12.55722235,9.154510487,3.902780424,18.24375196,10.71949917
17723,9/28/2020,0.936,12.56140869,9.154827662,3.902780424,18.24375196,10.71949917
17724,9/29/2020,0.936,12.56870332,9.155989777,3.902780424,18.24375196,10.71949917
17725,9/30/2020,0.936,12.57493947,9.157783121,3.902780424,18.24375196,10.71949917
17726,10/1/2020,0.936,12.58355657,9.159047078,3.845028137,18.24375196,10.71949917
17727,10/2/2020,0.936,12.59267768,9.159888828,3.845028137,18.24375196,10.71949917
17728,10/3/2020,0.936,12.60134599,9.161885152,3.845028137,18.24375196,10.71949917
17729,10/4/2020,0.936,12.60899118,9.162095059,3.845028137,18.24375196,10.71949917
17730,10/5/2020,0.936,12.61359896,9.162619636,3.845028137,18.24375196,10.71949917
17731,10/6/2020,0.936,12.62233921,9.163877498,0.0,18.24375196,10.71949917
17732,10/7/2020,0.936,12.63162139,9.165552189,0.0,18.24375196,10.71949917
17733,10/8/2020,0.936,12.64479198,9.167224081,0.0,18.24375196,10.71949917
17734,10/9/2020,0.936,12.65924797,9.168371887,0.0,18.24375196,10.71949917
17735,10/10/2020,0.936,12.67414003,9.169934957,0.0,18.24375196,10.71949917
17736,10/11/2020,0.936,12.68498646,9.171079658,0.0,18.24375196,10.71949917
17737,10/12/2020,0.936,12.6925984,9.171703488,0.0,18.24375196,10.71949917
17738,10/13/2020,0.936,12.70518898,9.173053787,0.0,18.24375196,10.71949917
17739,10/14/2020,0.936,12.72064624,9.177507215,0.0,18.24375196,10.71949917
17740,10/15/2020,0.936,12.7402915,9.180911561,0.0,18.24375196,10.71949917
17741,10/16/2020,0.936,12.76155705,9.18338019,0.0,18.24375196,10.71949917
17742,10/17/2020,0.936,12.7837725,9.186764635,0.0,18.24375196,10.71949917
17743,10/18/2020,0.936,12.79932767,9.187787968,0.0,18.24375196,10.71949917
17744,10/19/2020,0.936,12.81120522,9.189014585,0.0,18.24375196,10.71949917
17745,3/13/2020,0.5920000000000001,0.693147181,0.0,2.119863456,17.25184806,8.349396831
17746,3/15/2020,0.5920000000000001,0.693147181,0.0,2.631169157,17.25184806,8.349396831
17747,3/16/2020,0.5920000000000001,0.693147181,0.0,3.794139965,17.25184806,8.349396831
17748,3/17/2020,0.5920000000000001,1.791759469,0.0,3.912023005,17.25184806,8.349396831
17749,3/18/2020,0.5920000000000001,1.791759469,0.0,3.912023005,17.25184806,8.349396831
17750,3/19/2020,0.5920000000000001,1.945910149,0.0,3.912023005,17.25184806,8.349396831
17751,3/20/2020,0.5920000000000001,2.397895273,0.0,3.912023005,17.25184806,8.349396831
17752,3/21/2020,0.5920000000000001,2.772588722,0.0,3.912023005,17.25184806,8.349396831
17753,3/22/2020,0.5920000000000001,3.044522438,0.0,3.966132331,17.25184806,8.349396831
17754,3/23/2020,0.5920000000000001,3.17805383,0.0,3.966132331,17.25184806,8.349396831
17755,3/24/2020,0.5920000000000001,3.295836866,0.693147181,3.966132331,17.25184806,8.349396831
17756,3/25/2020,0.5920000000000001,3.970291914,0.693147181,3.966132331,17.25184806,8.349396831
17757,3/26/2020,0.5920000000000001,4.219507705,1.098612289,3.966132331,17.25184806,8.349396831
17758,3/27/2020,0.5920000000000001,4.882801923,1.098612289,3.966132331,17.25184806,8.349396831
17759,3/28/2020,0.5920000000000001,4.919980926,1.098612289,3.966132331,17.25184806,8.349396831
17760,3/29/2020,0.5920000000000001,4.94875989,1.609437912,3.966132331,17.25184806,8.349396831
17761,3/30/2020,0.5920000000000001,5.023880521000001,1.609437912,4.455625549,17.25184806,8.349396831
17762,3/31/2020,0.5920000000000001,5.023880521000001,1.609437912,4.455625549,17.25184806,8.349396831
17763,4/1/2020,0.5920000000000001,5.023880521000001,1.609437912,4.455625549,17.25184806,8.349396831
17764,4/2/2020,0.5920000000000001,5.272999559,1.609437912,4.455625549,17.25184806,8.349396831
17765,4/3/2020,0.5920000000000001,5.318119994,1.609437912,4.455625549,17.25184806,8.349396831
17766,4/4/2020,0.5920000000000001,5.323009979,1.609437912,4.455625549,17.25184806,8.349396831
17767,4/5/2020,0.5920000000000001,5.365976015,1.609437912,4.455625549,17.25184806,8.349396831
17768,4/6/2020,0.5920000000000001,5.365976015,1.609437912,4.455625549,17.25184806,8.349396831
17769,4/7/2020,0.5920000000000001,5.659482216000001,1.609437912,4.455625549,17.25184806,8.349396831
17770,4/8/2020,0.5920000000000001,5.659482216000001,1.609437912,4.455625549,17.25184806,8.349396831
17771,4/9/2020,0.5920000000000001,5.746203191,1.791759469,4.455625549,17.25184806,8.349396831
17772,4/10/2020,0.5920000000000001,5.934894196,1.791759469,4.455625549,17.25184806,8.349396831
17773,4/11/2020,0.5920000000000001,5.934894196,1.791759469,4.455625549,17.25184806,8.349396831
17774,4/12/2020,0.5920000000000001,6.011267173999999,2.079441542,4.455625549,17.25184806,8.349396831
17775,4/13/2020,0.5920000000000001,6.338594078,2.079441542,4.455625549,17.25184806,8.349396831
17776,4/14/2020,0.5920000000000001,6.338594078,2.079441542,4.455625549,17.25184806,8.349396831
17777,4/15/2020,0.5920000000000001,6.455198563,2.079441542,4.455625549,17.25184806,8.349396831
17778,4/16/2020,0.5920000000000001,6.463029457,2.079441542,4.455625549,17.25184806,8.349396831
17779,4/17/2020,0.5920000000000001,6.463029457,2.079441542,4.455625549,17.25184806,8.349396831
17780,4/18/2020,0.5920000000000001,6.463029457,2.079441542,4.433907257,17.25184806,8.349396831
17781,4/19/2020,0.5920000000000001,6.726233402,2.197224577,4.253767036,17.25184806,8.349396831
17782,4/20/2020,0.5920000000000001,6.948897222,2.197224577,4.127779338,17.25184806,8.349396831
17783,4/21/2020,0.5920000000000001,6.948897222,2.197224577,4.127779338,17.25184806,8.349396831
17784,4/22/2020,0.5920000000000001,6.948897222,2.197224577,4.127779338,17.25184806,8.349396831
17785,4/23/2020,0.5920000000000001,7.050989447,2.197224577,4.127779338,17.25184806,8.349396831
17786,4/24/2020,0.5920000000000001,7.050989447,2.197224577,4.127779338,17.25184806,8.349396831
17787,4/25/2020,0.5920000000000001,7.153833802,2.302585093,4.127779338,17.25184806,8.349396831
17788,4/26/2020,0.5920000000000001,7.153833802,2.302585093,4.127779338,17.25184806,8.349396831
17789,4/27/2020,0.5920000000000001,7.34601021,2.397895273,4.127779338,17.25184806,8.349396831
